id_wad,id_author
0125,0290
0125,0344
0125,0434
0125,0047
0125,0415
0125,0352
0125,0187
0125,0472
0125,0017
0125,0019
0125,0359
0125,0040
0125,0390
0125,0125
0125,0050
0125,0475
0126,0219
0127,0038
0128,0394
0129,0227
0130,0087
0131,0242
0131,0303
0131,0465
0131,0402
0131,0416
0131,0482
0131,0372
0131,0401
0131,0464
0131,0339
0131,0469
0131,0442
0131,0130
0131,0241
0131,0456
0132,0079
0132,0009
0132,0254
0132,0076
0132,0277
0132,0294
0132,0351
0132,0371
0132,0419
0132,0453
0132,0404
0132,0458
0132,0028
0132,0037
0133,0283
0134,0113
0135,0031
0135,0003
0135,0147
0136,0003
0137,0020
0138,0093
0139,0365
0140,0235
0141,0236
0142,0440
0142,0460
0143,0353
0144,0054
0145,NULL
0146,0327
0147,0257
0148,0189
0149,0141
0149,0119
0149,0456
0149,0109
0149,0452
0149,0192
0149,0282
0149,0473
0149,0096
0149,0185
0149,0304
0150,0032
0151,0291
0152,0343
0153,0185
0153,0177
0153,0148
0153,0042
0153,0189
0153,0286
0153,0451
0153,0093
0153,0003
0153,0040
0153,0053
0153,0022
0153,0333
0153,0220
0153,0125
0153,0096
0153,0058
0153,0439
0153,0308
0153,0256
0153,0363
0153,0154
0153,0489
0153,0384
0153,0116
0153,0316
0153,0354
0153,0321
0153,0284
0154,0165
0155,0179
0156,0183
0157,0236
0158,0006
0159,0060
0160,0104
0161,0287
0162,0420
