id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0015,2005,KamaSutra,Doom 2,32,TRUE,FALSE,FALSE,FALSE,4.78,www.doomworld.com/idgames/levels/doom2/megawads/ksutra
0016,2005,Congestion 1024,Doom 2,32,TRUE,FALSE,FALSE,TRUE,3.58,www.doomworld.com/idgames/levels/doom2/Ports/megawads/1024
0017,2005,Hi-Tech Hell 2: Alien Tech,Doom 2,7,TRUE,FALSE,FALSE,TRUE,3.02,www.doomworld.com/idgames/levels/doom2/Ports/g-i/hth2
0018,2005,Temple of Chaos 2: Warped Reality,Doom 2,1,TRUE,FALSE,FALSE,FALSE,1.65,www.doomworld.com/idgames/levels/doom2/s-u/sp_chao2
0019,2005,Crimson Canyon,Doom 2,12,TRUE,FALSE,FALSE,TRUE,1.51,www.doomworld.com/idgames/levels/doom2/Ports/a-c/crmsn37
0020,2005,Total Control,Doom 2,1,TRUE,FALSE,FALSE,TRUE,2.17,www.doomworld.com/idgames/levels/doom2/Ports/s-u/total666
0021,2006,Phocas Island 2,Doom 2,6,TRUE,FALSE,FALSE,TRUE,6.78,www.doomworld.com/idgames/levels/doom2/Ports/p-r/phocas2
0022,2006,IC2005,Doom 2,1,TRUE,TRUE,FALSE,TRUE,1.48,www.doomworld.com/idgames/levels/doom2/Ports/g-i/ic2005
0023,2006,Hellcore v2.0,Doom 2,12,TRUE,TRUE,FALSE,TRUE,10.99,www.doomworld.com/idgames/levels/doom2/Ports/g-i/hc20
0024,2006,New Doom Community Map Project,Doom 2,32,TRUE,FALSE,FALSE,TRUE,7.02,www.doomworld.com/idgames/levels/doom2/Ports/megawads/ndcp
0025,2006,Operation Overlord,Doom 2,1,TRUE,FALSE,FALSE,TRUE,5.28,www.doomworld.com/idgames/levels/doom2/Ports/m-o/njol
0026,2006,Vae Victus 2,Doom 2,7,TRUE,TRUE,FALSE,TRUE,1.7,www.doomworld.com/idgames/levels/doom2/Ports/v-z/vv2
0027,2006,Phobia: The Age,Doom 2,8,TRUE,FALSE,FALSE,TRUE,34.31,www.doomworld.com/idgames/levels/doom2/Ports/p-r/phobiata
0028,2006,Foreverhood v1.0,Doom 2,NULL,NULL,NULL,NULL,NULL,25.8,iamsparky.wordpress.com/foreverhood/
0029,2006,Classic Episode 2: Singularity Complex,Doom,9,TRUE,NULL,NULL,NULL,0.95,www.doomworld.com/idgames/levels/doom/Ports/a-c/class_e2
0030,2006,Crucified Dreams,Doom 2,41,FALSE,FALSE,TRUE,TRUE,9.09,www.doomworld.com/idgames/levels/doom2/deathmatch/Ports/megawads/crudream
0031,2007,Genesis of Descent,Doom,1,TRUE,FALSE,FALSE,FALSE,2.96,www.doomworld.com/idgames/levels/doom/Ports/g-i/god_
